,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,religious-groups-in-schools,anti-satellite-test-ban,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Target
0,0,1,0,1,1,0,0,1,2,1,1,1,0,1,republican
1,0,1,0,1,1,0,0,0,0,1,1,1,0,2,republican
2,2,1,1,2,1,0,0,0,1,0,1,1,0,0,democrat
3,0,1,1,0,1,0,0,0,1,0,1,0,0,1,democrat
4,1,1,1,0,1,0,0,0,1,2,1,1,1,1,democrat
5,0,1,1,0,1,0,0,0,0,0,1,1,1,1,democrat
6,0,1,0,1,1,0,0,0,0,0,2,1,1,1,democrat
7,0,1,0,1,1,0,0,0,0,0,1,1,2,1,republican
8,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
9,1,1,1,0,0,1,1,0,0,0,0,0,2,2,democrat
10,0,1,0,1,0,0,0,0,2,2,1,1,0,0,republican
11,0,1,0,1,1,0,0,0,1,2,1,1,2,2,republican
12,0,1,1,0,0,1,1,0,0,0,1,0,2,2,democrat
13,1,1,1,0,1,1,2,1,1,2,0,0,1,2,democrat
14,0,1,0,1,1,0,0,0,0,1,2,2,0,2,republican
15,0,1,0,1,1,0,0,1,0,1,1,2,0,2,republican
16,1,0,1,0,1,0,2,1,1,1,2,0,0,1,democrat
17,1,2,1,0,0,1,1,0,0,0,1,0,1,1,democrat
18,0,1,0,1,1,0,0,0,0,2,1,1,0,0,republican
19,1,1,1,0,0,1,1,0,1,0,0,0,1,1,democrat
20,1,1,1,0,2,1,0,0,1,0,0,0,1,1,democrat
21,1,1,1,0,0,1,1,0,0,0,2,2,1,1,democrat
22,1,2,1,0,0,1,1,0,0,2,0,0,1,1,democrat
23,1,1,1,0,0,1,1,0,0,0,0,0,1,1,democrat
24,1,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
25,1,0,1,0,0,1,1,1,0,0,0,0,1,1,democrat
26,1,0,1,0,0,1,1,0,1,0,0,0,1,1,democrat
27,1,1,1,0,0,1,1,0,1,0,0,0,1,1,democrat
28,1,0,0,1,0,1,1,0,0,1,1,1,0,1,republican
29,1,1,1,0,0,1,1,0,1,0,0,0,1,1,democrat
30,0,1,0,1,1,0,0,0,0,1,1,1,0,0,republican
31,1,1,1,0,0,1,1,0,1,0,0,0,1,2,democrat
32,1,1,1,0,0,1,1,1,0,0,1,0,1,1,democrat
33,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
34,1,1,1,0,0,1,1,0,0,0,0,0,1,1,democrat
35,0,1,0,1,1,0,0,0,0,1,1,1,0,0,republican
36,1,2,0,1,1,0,0,1,0,1,2,1,0,1,republican
37,1,1,0,1,1,0,0,0,0,0,1,1,0,1,republican
38,0,1,0,1,1,0,0,1,0,1,1,1,0,0,republican
39,1,0,1,0,0,1,1,1,1,0,1,0,1,1,democrat
40,1,1,1,0,0,1,1,0,2,0,0,0,0,2,democrat
41,1,1,1,0,0,1,1,0,0,0,0,0,1,2,democrat
42,1,0,1,0,0,1,1,0,0,0,0,0,0,1,democrat
43,1,0,1,0,0,1,1,0,0,0,0,0,1,1,democrat
44,1,1,1,0,0,1,1,0,1,0,0,0,0,2,democrat
45,1,1,1,0,0,1,2,0,1,0,0,0,1,2,democrat
46,1,1,1,0,0,1,1,0,0,0,0,0,0,1,democrat
47,1,0,1,0,0,1,2,0,0,0,0,0,0,2,democrat
48,1,1,1,0,0,1,0,0,0,0,0,1,0,1,democrat
49,0,2,0,1,1,0,0,0,0,1,1,1,0,0,republican
50,1,1,1,0,0,1,1,0,1,0,0,0,1,1,democrat
51,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
52,1,1,1,0,0,1,1,0,0,0,0,0,2,2,democrat
53,1,1,0,1,1,0,0,1,0,1,1,1,0,0,republican
54,1,1,1,0,1,2,0,0,1,1,0,1,0,2,democrat
55,0,1,0,1,1,0,0,1,1,1,1,1,0,0,republican
56,0,1,0,1,1,0,0,1,1,1,1,1,0,1,republican
57,0,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
58,0,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
59,0,1,0,1,1,0,0,1,0,1,1,1,0,2,republican
60,1,1,1,0,2,1,1,1,0,0,0,0,1,2,democrat
61,0,1,0,1,1,0,0,0,0,1,1,1,0,0,republican
62,1,1,1,0,0,1,1,0,0,0,0,0,0,2,democrat
63,1,1,1,0,0,1,1,0,1,0,0,0,0,1,democrat
64,1,1,1,0,0,1,1,0,1,2,0,0,0,1,democrat
